Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Purelane Tap Cleaner & Limescale Remover,purelane-tap-cleaner,"Plant-based foaming spray that instantly dissolves stubborn hard water stains and limescale on bathroom and kitchen chrome fittings.",Purelane,Home & Garden > Cleaning Products,Cleaning Spray,Bestseller,TRUE,Active,PL-TAP-500,,Title,Default Title,,,,,,,,200.00,299.00,100.00,TRUE,,,,,,shopify,100,DENY,500,g,TRUE,manual,https://burst.shopifycdn.com/photos/clean-glass-spray-bottle.jpg?width=1000,1,Purelane Tap Cleaner Spray Bottle,,FALSE,Purelane Tap Cleaner,Plant-based limescale remover spray,,,,,,,New,FALSE,,,,
Purelane Kitchen Cleaner Foaming,purelane-foaming-kitchen-cleaner,"Natural degreaser powered by coconut and citrus oils. Clings to kitchen grease and grime for effortless wipe-away cleaning.",Purelane,Home & Garden > Cleaning Products,Cleaning Spray,Bestseller,TRUE,Active,PL-KIT-500,,Title,Default Title,,,,,,,,200.00,299.00,100.00,TRUE,,,,,,shopify,150,DENY,500,g,TRUE,manual,https://burst.shopifycdn.com/photos/cleaning-products-spray-bottle.jpg?width=1000,1,Purelane Foaming Kitchen Cleaner Spray Bottle,,FALSE,Purelane Kitchen Cleaner,Plant-based foaming kitchen cleaner,,,,,,,New,FALSE,,,,
Purelane Copper Bronze & Brass Cleaner,purelane-copper-brass-cleaner,"Tarnish-removing formula crafted from organic acids that restores natural shine to traditional Indian pooja utensils and cookware without harsh scrubbing.",Purelane,Home & Garden > Cleaning Products,Metal Polish,Top Rated,TRUE,Active,PL-MET-300,,Title,Default Title,,,,,,,,200.00,299.00,100.00,TRUE,,,,,,shopify,80,DENY,300,g,TRUE,manual,https://burst.shopifycdn.com/photos/soap-pump-bottle.jpg?width=1000,1,Purelane Copper Bronze and Brass Cleaner Pump Bottle,,FALSE,Purelane Copper Cleaner,Tarnish removing copper cleaner,,,,,,,New,FALSE,,,,
Purelane Washing Machine Cleaner & Descaler Tablets,purelane-washing-machine-cleaner,"Deep-cleaning descaler tablets that eliminate mineral buildup, bacteria, and damp odours in front and top-loading washing machines.",Purelane,Home & Garden > Cleaning Products,Appliance Cleaner,New,TRUE,Active,PL-WM-8TB,,Title,Default Title,,,,,,,,200.00,299.00,100.00,TRUE,,,,,,shopify,120,DENY,200,g,TRUE,manual,https://burst.shopifycdn.com/photos/white-pills-in-bottle.jpg?width=1000,1,Purelane Washing Machine Descaler Tablets,,FALSE,Purelane Washing Machine Cleaner,Descaler tablets for washing machines,,,,,,,New,FALSE,,,,
Purelane Natural Herbal Floor Cleaner,purelane-natural-herbal-floor-cleaner,"Neem and lemongrass-infused floor cleaner that repels insects, kills 99.9% of germs, and leaves a pet-safe natural finish on all floor types.",Purelane,Home & Garden > Cleaning Products,Floor Cleaner,Pet Safe,TRUE,Active,PL-FLR-1000,,Title,Default Title,,,,,,,,220.00,320.00,110.00,TRUE,,,,,,shopify,200,DENY,1000,g,TRUE,manual,https://burst.shopifycdn.com/photos/cleaning-liquid-pour.jpg?width=1000,1,Purelane Natural Herbal Floor Cleaner Bottle,,FALSE,Purelane Floor Cleaner,Herbal pet safe floor cleaner,,,,,,,New,FALSE,,,,
Purelane Non-Toxic Toilet Cleaner,purelane-non-toxic-toilet-cleaner,"Zero-hydrochloric acid toilet bowl cleanser powered by organic bio-acids that sanitizes, cuts through stains, and protects septic tanks.",Purelane,Home & Garden > Cleaning Products,Toilet Cleaner,Germ Defense,TRUE,Active,PL-TLT-500,,Title,Default Title,,,,,,,,210.00,299.00,105.00,TRUE,,,,,,shopify,95,DENY,500,g,TRUE,manual,https://burst.shopifycdn.com/photos/cleaning-bathroom-products.jpg?width=1000,1,Purelane Non-Toxic Toilet Cleaner Bottle,,FALSE,Purelane Toilet Cleaner,Non-toxic bio toilet cleaner,,,,,,,New,FALSE,,,,
Purelane Plant-Powered Laundry Detergent,purelane-plant-powered-laundry-detergent,"Soap nut-based enzyme laundry liquid that washes whites and colours gently, preserving fabric softeness while eliminating odour.",Purelane,Home & Garden > Cleaning Products,Laundry Detergent,Eco Wash,TRUE,Active,PL-LND-1000,,Title,Default Title,,,,,,,,250.00,350.00,120.00,TRUE,,,,,,shopify,110,DENY,1000,g,TRUE,manual,https://burst.shopifycdn.com/photos/liquid-detergent-bottle.jpg?width=1000,1,Purelane Plant-Powered Laundry Detergent Bottle,,FALSE,Purelane Laundry Detergent,Plant enzyme laundry liquid,,,,,,,New,FALSE,,,,
Purelane Organic Ayurvedic Neem & Orange Peel Ultra-Concentrated Dishwash Liquid Gel for Tough Greasy Utensils 500ml,purelane-organic-dishwash-gel-very-long-title,"Concentrated plant surfactant gel enriched with soothing aloe vera and orange peel extract that cuts through oil while being kind to hands.",Purelane,Home & Garden > Cleaning Products,Dishwash,Gentle Hands,TRUE,Active,PL-DSH-500,,Title,Default Title,,,,,,,,190.00,275.00,90.00,TRUE,,,,,,shopify,75,DENY,500,g,TRUE,manual,https://burst.shopifycdn.com/photos/soap-bubble-on-sponge.jpg?width=1000,1,Purelane Organic Dishwash Gel Bottle,,FALSE,Purelane Dishwash Gel,Ultra concentrated organic dishwash gel,,,,,,,New,FALSE,,,,
Purelane Natural Jasmine & Lavender Fabric Softener and Conditioner Refill Pouch,purelane-fabric-softener-refill-sold-out,"Zero-synthetic fabric conditioner that reduces static and leaves garments lightly fragrant with essential oils.",Purelane,Home & Garden > Cleaning Products,Fabric Softener,Sold Out,TRUE,Active,PL-SFT-1000,,Title,Default Title,,,,,,,,240.00,340.00,120.00,TRUE,,,,,,shopify,0,DENY,1000,g,TRUE,manual,https://burst.shopifycdn.com/photos/cotton-towels-and-soap.jpg?width=1000,1,Purelane Natural Fabric Softener Pouch,,FALSE,Purelane Fabric Softener,Natural fabric conditioner pouch,,,,,,,New,FALSE,,,,
Purelane Multi-Surface Disinfectant & Glass Cleaner Concentrate 200ml,purelane-multi-surface-concentrate-no-image,"Concentrated all-purpose refill formula for spray bottles. Dilutes with tap water to make 1 liter of streak-free glass and counter cleaner.",Purelane,Home & Garden > Cleaning Products,All Purpose Cleaner,No Image,TRUE,Active,PL-MSC-200,,Title,Default Title,,,,,,,,180.00,260.00,85.00,TRUE,,,,,,shopify,50,DENY,200,g,TRUE,manual,,,,,FALSE,Purelane Multi Surface Cleaner,Concentrated glass and surface cleaner,,,,,,,New,FALSE,,,,
